Diff,,Title,Author,Pages,Series/Notes,Cycle,Anticipated Start Date,Completion Date,Rating,Number of Days,Pg/Day
2,1,Age Of Magical Overthinking,Montell,272,,TimeKiller,06/23/26,,,12,21
3,3,The Gospel Of Thomas,Unknown,14,,Philosophy / Theory / Nonfiction,07/05/26,,,1,24
8,4,Ancestor’s Tale,Dawkins,614,,Philosophy / Theory / Nonfiction,07/06/26,,,68,9
0,5,Amateur’s Mind,Silman,443,,Chess,09/12/26,,,0,33
8,6,The Kindly Ones,Littell,992,,Contemporary / Realist / Satirical Fiction,09/12/26,,,110,9
9,7,In The Shadow Of Young Girls In Flower (Penguin),Proust,576,"recherche (once all 7 done, collapse ‘completed’ to single entry)",High Literary / Modernist Core,12/31/26,,,96,6
9,8,Ulysses,Joyce,783,don’t stress over deep comprehension but also don’t rush,High Literary / Modernist Core,04/06/27,,,130,6
1,9,Cat’s Cradle,Vonnegut,287,"skim, parallel",Contemporary / Realist / Satirical Fiction,08/14/27,,,9,30
8,10,The Book Of Disquiet,Pessoa,309,give it respect,High Literary / Modernist Core,08/23/27,,,34,9
9,11,The Guermantes Way (Moncrieff),Proust,640,"recherche (once all 7 done, collapse ‘completed’ to single entry)",High Literary / Modernist Core,09/26/27,,,106,6
7,12,The Idiot,Dostoevsky,720,give it a real shot,High Literary / Modernist Core,01/10/28,,,60,12
8,13,Infinite Jest,Wallace,1088,do it justice. 9 pg/day regardless of footnotes,Experimental / Postmodern / Metafiction,03/10/28,,,120,9
4,14,A Scanner Darkly,pkd,220,"real(ish) read. As real as pkd ever is, so hardly",Speculative SF,07/08/28,,,10,21
10,15,Godel Escher Bach,Hofstadter,737,"give it a shot, don’t obsess over absolute puzzle completion",Philosophy / Theory / Nonfiction,07/18/28,,,245,3
9,16,Sodom And Gomorrah,Proust,576,"recherche (once all 7 done, collapse ‘completed’ to single entry)",High Literary / Modernist Core,03/20/29,,,96,6
4,17,On Liberty and Utilitarianism,Miller,236,skim,Philosophy / Theory / Nonfiction,06/24/29,,,11,21
8,18,Brothers Karamazov,Dostoevsky,796,give it at least as big a shot as you gave the idiot,High Literary / Modernist Core,07/05/29,,,88,9
2,19,Collection of Essays,Orwell,316,"skim, skip bad essays",Philosophy / Theory / Nonfiction,10/01/29,,,11,27
8,20,Six Easy Pieces,Feynman,138,,Philosophy / Theory / Nonfiction,10/12/29,,,15,9
9,21,Six Not So Easy Pieces,Feynman,144,,Philosophy / Theory / Nonfiction,10/27/29,,,24,6
7,22,A Sand County Almanac,Leopold,240,,Philosophy / Theory / Nonfiction,11/20/29,,,20,12
10,23,On Computable Numbers,Turing,36,,Philosophy / Theory / Nonfiction,12/10/29,,,12,3
9,24,The Prisoner,Proust,448,"recherche (once all 7 done, collapse ‘completed’ to single entry)",High Literary / Modernist Core,12/22/29,,,74,6
10.33,25,Tapl,Pierce,489,,Philosophy / Theory / Nonfiction,03/06/30,,,243,2.01
10,26,Category Theory,Awodey,320,,Philosophy / Theory / Nonfiction,11/04/30,,,106,3
9,27,The Fugitive,Proust,352,"recherche (once all 7 done, collapse ‘completed’ to single entry)",High Literary / Modernist Core,02/18/31,,,58,6
10.33,28,Attapl,Pierce,533,,Philosophy / Theory / Nonfiction,04/17/31,,,265,2.01
3,29,Passages In The Void,Williams,10,mortal passage series,Speculative SF,01/07/32,,,1,24
3,30,The Passage Home,Williams,18,many of these are missing from the website! ,Speculative SF,01/08/32,,,1,24
3,31,Rite Of Passage,Williams,21,,Speculative SF,01/09/32,,,1,24
3,32,Mortal Passage,Williams,24,,Speculative SF,01/10/32,,,1,24
3,33,Revelation One: The Borden Homeworld,Williams,14,,Speculative SF,01/11/32,,,1,24
3,34,The Makers Of The Borden,Williams,6,,Speculative SF,01/12/32,,,1,24
3,35,The Paleobringer,Williams,14,,Speculative SF,01/13/32,,,1,24
3,36,The Ark Of The Aeon,Williams,6,,Speculative SF,01/14/32,,,1,24
3,37,The Queen Of The Galaxy,Williams,6,,Speculative SF,01/15/32,,,1,24
